company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,roce_pct,roa_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,fcf_conversion_pct,cfo_quality_score,capital_allocation_pattern,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
ABB,2012-12,8.77,12.22,22.41,30.33,15.99,0.0,False,,,False,0.0,1.82,42.0,3.57,20.79,Moderate,Reinvestor,14.5,308.1,17.24,0.0,6.11,,,,22.29
ABB,2014-03,8.7,11.73,25.13,32.96,17.38,0.0,False,,,False,0.0,2.0,11.0,6.33,4.12,Moderate,Reinvestor,19.8,375.24,12.63,0.0,6.81,,,,15.55
ABB,2014-03,8.7,11.73,25.13,32.96,17.38,0.0,False,,,False,0.0,2.0,0.0,0.0,0.0,Accrual Risk,Cash Accumulator,19.8,375.24,12.63,0.0,0.0,,,,12.8
ABB,2015-03,10.0,13.63,24.44,32.77,16.67,0.0,False,,,False,0.0,1.67,28.0,8.17,8.97,Moderate,Reinvestor,22.9,446.19,12.66,0.0,9.39,,,,19.78
ABB,2015-03,10.0,13.63,24.44,32.77,16.67,0.0,False,,,False,0.0,1.67,-1899.0,81.43,-608.65,Accrual Risk,Growth Funded by Debt,22.9,446.19,12.66,0.0,-1.53,,,,-461.97
ABB,2016-03,9.76,13.96,21.34,30.19,15.78,0.0,False,138.33,,False,0.0,1.62,172.0,2.95,47.12,Moderate,Reinvestor,25.5,569.05,11.37,0.0,9.53,,,,54.72
ABB,2016-03,9.76,13.96,21.34,30.19,15.78,0.0,False,138.33,,False,0.0,1.62,728.0,31.22,199.45,High Quality,Shareholder Returns,25.5,569.05,11.37,0.0,59.07,,,,193.72
ABB,2017-03,9.54,13.71,19.97,28.37,13.41,0.0,False,227.5,,False,0.0,1.41,152.0,5.34,38.19,High Quality,Shareholder Returns,27.7,660.48,11.19,0.0,10.58,,,,48.73
ABB,2017-03,9.54,13.71,19.97,28.37,13.41,0.0,False,227.5,,False,0.0,1.41,459.0,59.59,115.33,High Quality,Shareholder Returns,27.7,660.48,11.19,0.0,75.4,,,,125.48
ABB,2018-03,12.16,15.92,23.69,30.72,16.6,0.0,False,160.5,,False,0.0,1.37,-62.0,6.52,-11.81,High Quality,Shareholder Returns,40.1,806.19,7.23,0.0,4.64,,,,-2.39
ABB,2018-03,12.16,15.92,23.69,30.72,16.6,0.0,False,160.5,,False,0.0,1.37,-994.0,96.79,-189.33,High Quality,Mixed,40.1,806.19,7.23,0.0,66.65,,,,-235.39
ABB,2019-03,12.23,16.44,22.41,29.88,15.3,0.0,False,359.0,,False,0.0,1.25,242.0,6.99,40.0,High Quality,Shareholder Returns,45.0,956.19,6.89,0.0,13.56,,,,72.98
ABB,2019-03,12.23,16.44,22.41,29.88,15.3,0.0,False,359.0,,False,0.0,1.25,-459.0,82.9,-75.87,High Quality,Mixed,45.0,956.19,6.89,0.0,70.43,,,,-102.27
ABB,2020-03,14.49,18.49,24.39,23.36,16.72,0.07,False,96.78,,False,175.0,1.15,225.0,9.8,29.72,High Quality,Shareholder Returns,59.3,1157.62,15.18,4.93,15.29,,,,70.15
ABB,2020-03,14.49,18.49,24.39,23.36,16.72,0.07,False,96.78,,False,175.0,1.15,-206.0,137.87,-27.21,High Quality,Mixed,59.3,1157.62,15.18,4.93,132.84,,,,-37.6
ABB,2021-03,16.03,21.39,26.56,28.91,17.99,0.06,False,55.72,,False,153.0,1.12,655.0,1.67,71.04,High Quality,Shareholder Returns,69.1,1239.05,12.3,3.98,16.87,,,,178.9
ABB,2021-03,16.03,21.39,26.56,28.91,17.99,0.06,False,55.72,,False,153.0,1.12,-225.0,93.02,-24.4,High Quality,Shareholder Returns,69.1,1239.05,12.3,3.98,87.8,,,,-41.11
ABB,2022-03,16.26,22.02,28.33,32.22,18.92,0.05,False,61.32,,False,152.0,1.16,552.0,8.06,51.02,High Quality,Shareholder Returns,79.9,1342.86,9.14,3.6,19.3,,,,153.88
ABB,2022-03,16.26,22.02,28.33,32.22,18.92,0.05,False,61.32,,False,152.0,1.16,161.0,80.11,14.88,High Quality,Shareholder Returns,79.9,1342.86,9.14,3.6,83.39,,,,56.13
ABB,2023-03,17.74,22.55,29.77,33.55,20.83,0.04,False,85.0,,False,113.0,1.17,745.0,2.77,61.77,High Quality,Shareholder Returns,94.9,1518.1,7.69,2.48,16.69,,,,203.34
ABB,2023-03,17.74,22.55,29.77,33.55,20.83,0.04,False,85.0,,False,113.0,1.17,-922.0,87.85,-76.45,High Quality,Mixed,94.9,1518.1,7.69,2.48,70.61,,,,-213.41
ABB,2024-03,20.53,24.84,32.47,36.34,23.13,0.02,False,141.75,,False,83.0,1.13,797.0,7.11,54.85,High Quality,Shareholder Returns,120.1,1761.43,6.08,1.6,20.74,,,,218.28
ABB,2024-03,20.53,24.84,32.47,36.34,23.13,0.02,False,141.75,,False,83.0,1.13,1095.0,84.51,75.36,High Quality,Shareholder Returns,120.1,1761.43,6.08,1.6,103.23,28.75,52.63,52.72,292.78
